genere,genere_collegato,relazione
rock,surf,subgenre
punk rock,surf punk,subgenre
surf punk,surf rock,influenced by
seggae,reggae,fusion of
seggae,séga,fusion of
folk,seguidilla,subgenre
trot,semi-trot,subgenre
semi-trot,dance-pop,influenced by
semi-trot,electropop,influenced by
semi-trot,k-pop,influenced by
semi-trot,pop rock,influenced by
modern classical,serialism,subgenre
sertanejo,sertanejo universitário,subgenre
sertanejo universitário,pop,influenced by
sertanejo,sertanejo romântico,subgenre
sertanejo romântico,pop,influenced by
sertanejo,sertanejo raiz,subgenre
folk,sevdalinka,subgenre
folk,sevillanas,subgenre
edm,shangaan electro,subgenre
pop,shibuya-kei,subgenre
shidaiqu,jazz,influenced by
mandopop,shidaiqu,influenced by
shinkyoku,western classical,influenced by
shinkyoku,meiji shinkyoku,influenced by
alternative rock,shoegaze,subgenre
shoegaze,dream pop,influenced by
shoegaze,indie rock,influenced by
shoegaze,neo-psychedelia,influenced by
shoegaze,noise rock,influenced by
sungura,benga,influenced by
sungura,soukous,influenced by
sungura,township jive,influenced by
pop,sundanese pop,subgenre
norteño,sierreño,subgenre
edm,singeli,subgenre
singeli,bongo flava,influenced by
singeli,taarab,influenced by
rock,sufi rock,subgenre
sufi rock,hindustani classical,influenced by
jazz,stride,subgenre
stride,ragtime,influenced by
hardcore punk,street punk,subgenre
street punk,oi,influenced by
hard rock,stoner rock,subgenre
stoner rock,blues rock,influenced by
stoner rock,doom metal,influenced by
stoner rock,psychedelic rock,influenced by
folk,stornello,subgenre
metal,stoner metal,subgenre
stoner metal,blues rock,influenced by
stoner metal,doom metal,influenced by
stoner metal,psychedelic rock,influenced by
stenchcore,death metal,influenced by
stenchcore,heavy metal,influenced by
stenchcore,thrash metal,influenced by
steampunk,dark wave,influenced by
steampunk,industrial,influenced by
steampunk,new wave,influenced by
steampunk,synth-pop,influenced by
comedy,standup comedy,subgenre
spoken word,fairy tale,subgenre
spoken word,interview,subgenre
spoken word,speech,subgenre
speedcore,splittercore,subgenre
splittercore,noise,influenced by
gospel,spirituals,influenced by
hardcore techno,speedcore,subgenre
heavy metal,nwobhm,subgenre
nwobhm,punk,influenced by
heavy metal,speed metal,subgenre
speed metal,nwobhm,influenced by
uk garage,speed garage,subgenre
speed garage,garage house,influenced by
speed garage,jungle,influenced by
modern classical,spectralism,subgenre
space rock revival,post-punk,influenced by
space rock revival,neo-psychedelia,fusion of
space rock revival,space rock,fusion of
psychedelic rock,space rock,subgenre
electro-disco,space disco,subgenre
space disco,space rock,influenced by
ambient,space ambient,subgenre
space ambient,drone,influenced by
space ambient,progressive electronic,influenced by
synthwave,sovietwave,subgenre
easy listening,space age pop,subgenre
soul,southern soul,subgenre
southern soul,electric blues,influenced by
southern soul,gospel,influenced by
southern soul,r&b,influenced by
rock,southern rock,subgenre
southern rock,blues rock,influenced by
southern rock,country,influenced by
southern rock,folk,influenced by
southern rock,hard rock,influenced by
southern rock,rock and roll,influenced by
metal,southern metal,subgenre
southern metal,blues,influenced by
southern metal,sludge metal,influenced by
southern metal,stoner metal,influenced by
hip hop,southern hip hop,subgenre
gospel,southern gospel,subgenre
experimental,sound collage,subgenre
epic collage,sound collage,influenced by
experimental,sound art,subgenre
jazz,soul jazz,subgenre
soul jazz,gospel,influenced by
soul jazz,r&b,influenced by
soul jazz,soul,influenced by
blues,soul blues,subgenre
soul blues,gospel,influenced by
soul blues,jump blues,influenced by
soul blues,soul,influenced by
soul,big band,influenced by
soul,gospel,influenced by
soul,r&b,influenced by
pop,sophisti-pop,subgenre
sophisti-pop,jazz,influenced by
sophisti-pop,r&b,influenced by
sophisti-pop,soul,influenced by
songo,funk,influenced by
songo,jazz,influenced by
songo,rumba cubana,influenced by
songo,son cubano,influenced by
son cubano,son montuno,subgenre
rock,soft rock,subgenre
soft rock,baroque pop,influenced by
soft rock,country rock,influenced by
soft rock,folk pop,influenced by
soca,calypso,influenced by
ska,calypso,influenced by
ska,jump blues,influenced by
ska,mento,influenced by
ska,new orleans r&b,influenced by
ska punk,punk rock,fusion of
ska punk,ska,fusion of
ska punk,skacore,subgenre
skacore,hardcore punk,influenced by
punk rock,skate punk,subgenre
comedy,sketch comedy,subgenre
folk,skiffle,subgenre
skiffle,country blues,influenced by
skiffle,dixieland,influenced by
skiffle,jazz,influenced by
laiko,skiladiko,subgenre
reggae,skinhead reggae,subgenre
darkstep,skullstep,subgenre
electro,skweee,subgenre
skweee,synth funk,influenced by
skweee,techno,influenced by
indie rock,slacker rock,subgenre
brutal death metal,slam death metal,subgenre
waltz,slow waltz,subgenre
indie rock,slowcore,subgenre
slowcore,contemporary folk,influenced by
slowcore,folk rock,influenced by
slowcore,indie folk,influenced by
metal,sludge metal,subgenre
sludge metal,doom metal,influenced by
sludge metal,hardcore punk,influenced by
jazz,smooth jazz,subgenre
smooth jazz,jazz fusion,influenced by
soul,smooth soul,subgenre
smooth soul,motown,influenced by
hip hop,snap,subgenre
folk,tajaraste,subgenre
folk,talking blues,subgenre
folk pop,tallava,subgenre
tallava,dance-pop,influenced by
tamborera,danzón,influenced by
tamborera,tamborito,influenced by
tarantella,tammurriata,subgenre
folk,tarantella,subgenre
kizomba,tarraxinha,subgenre
house,tech house,subgenre
tech house,techno,influenced by
trance,tech trance,subgenre
tech trance,techno,influenced by
death metal,technical death metal,subgenre
thrash metal,technical thrash metal,subgenre
technical thrash metal,progressive rock,influenced by
miami bass,techno bass,subgenre
techno bass,electro,influenced by
techno kayō,synth-pop,influenced by
drum and bass,hardstep,subgenre
drum and bass,techstep,subgenre
techstep,hardstep,influenced by
brega,tecnobrega,subgenre
tecnobrega,electronic,influenced by
dance-pop,tecnorumba,subgenre
tecnorumba,rumba flamenca,influenced by
pop,teen pop,subgenre
tejano,polka,influenced by
tejano,waltz,influenced by
hardcore techno,terrorcore,subgenre
terrorcore,gabber,influenced by
roots rock,tex-mex,subgenre
tex-mex,tejano,influenced by
texas blues,jazz,influenced by
texas blues,swing,influenced by
country,texas country,subgenre
texas country,neo-traditional country,influenced by
texas country,outlaw country,influenced by
third stream,western classical,fusion of
third stream,jazz,fusion of
ska,third wave ska,subgenre
third wave ska,2 tone,influenced by
third wave ska,punk rock,influenced by
third wave ska,rock,influenced by
metal,thrash metal,subgenre
thrash metal,hardcore punk,influenced by
thrash metal,nwobhm,influenced by
thrash metal,speed metal,influenced by
hardcore punk,thrashcore,subgenre
grindcore,thrashcore,influenced by
hindustani classical,thumri,subgenre
salsa,timba,subgenre
timba,funk,influenced by
timba,r&b,influenced by
timba,son cubano,influenced by
dance-pop,township bubblegum,subgenre
township bubblegum,disco,influenced by
township bubblegum,mbaqanga,influenced by
township bubblegum,synth-pop,influenced by
township bubblegum,township jive,influenced by
township jive,kwaito,influenced by
township jive,mbaqanga,influenced by
gospel,traditional black gospel,subgenre
traditional black gospel,blues,influenced by
traditional black gospel,spirituals,influenced by
country,traditional country,subgenre
traditional country,blues,influenced by
traditional country,folk,influenced by
traditional doom metal,blues rock,influenced by
traditional doom metal,heavy metal,influenced by
traditional doom metal,psychedelic rock,influenced by
metal,trance metal,subgenre
trance metal,trance,influenced by
hip hop,trap,subgenre
edm,trap edm,subgenre
trap edm,dubstep,influenced by
trap edm,grime,influenced by
trap edm,trap,influenced by
trap edm,wonky,influenced by
trap,trap metal,subgenre
trap,tread,subgenre
tread,cloud rap,influenced by
ambient,tribal ambient,subgenre
tribal ambient,folk,influenced by
edm,tribal guarachero,subgenre
tribal guarachero,cumbia mexicana,influenced by
tribal guarachero,electro house,influenced by
tribal guarachero,techno,influenced by
house,tribal house,subgenre
tribal house,folk,influenced by
downtempo,trip hop,subgenre
trip hop,hip hop,influenced by
house,tropical house,subgenre
tropical house,deep house,influenced by
pop rock,tropical rock,subgenre
tropical rock,calypso,influenced by
tropical rock,reggae,influenced by
tropical rock,rock and roll,influenced by
tropicália,mpb,influenced by
tropicália,psychedelic pop,influenced by
tropicália,psychedelic rock,influenced by
latin pop,tropipop,subgenre
tropipop,vallenato,influenced by
trova yucateca,bambuco,influenced by
trova yucateca,bolero,influenced by
country,truck driving country,subgenre
truck driving country,bakersfield sound,influenced by
truck driving country,country rock,influenced by
truck driving country,honky tonk,influenced by
tumbélé,biguine,influenced by
tumbélé,compas,influenced by
tumbélé,guaguancó,influenced by
tumbélé,soukous,influenced by
folk pop,turbo-folk,subgenre
hip hop,turntablism,subgenre
indie pop,twee pop,subgenre
edm,techno,subgenre
edm,balani show,subgenre
baltimore club,breakbeat,influenced by
baltimore club,ghetto house,influenced by
baltimore club,miami bass,influenced by
edm,breakbeat,subgenre
breakcore,hardcore techno,influenced by
edm,broken beat,subgenre
edm,drum and bass,subgenre
edm,dubstep,subgenre
edm,electroclash,subgenre
edm,house,subgenre
edm,rave,subgenre
edm,trance,subgenre
trance,acid house,influenced by
trance,ebm,influenced by
trance,techno,influenced by
shanto,calypso,influenced by
zydeco,nouveau zydeco,subgenre
zydeco,blues,influenced by
zydeco,cajun,influenced by
zydeco,jazz,influenced by
zydeco,r&b,influenced by
zouk,zouk love,subgenre
zouk,bélé,influenced by
zouk,biguine,influenced by
zouk,cadence lypso,influenced by
zouk,compas,influenced by
zouk,gwo ka,influenced by
rock,zolo,subgenre
zolo,new wave,influenced by
zolo,post-punk,influenced by
zolo,progressive rock,influenced by
zohioliin duu,pop,influenced by
ziglibithy,funk,influenced by
ziglibithy,makossa,influenced by
ziglibithy,soukous,influenced by
zhongguo feng,folk,influenced by
avant-prog,zeuhl,subgenre
zeuhl,jazz,influenced by
zeuhl,modern classical,influenced by
zeuhl,progressive rock,influenced by
western classical,zarzuela,subgenre
psychedelic rock,zamrock,subgenre
zamba,zamacueca,influenced by
cueca,zamacueca,influenced by
marinera,zamacueca,influenced by
electronic,digital fusion,subgenre
digital fusion,bit music,influenced by
digital fusion,jazz,influenced by
house,speed house,subgenre
speed house,bass house,influenced by
speed house,hard house,influenced by
regional mexicano,banda sinaloense,subgenre
regional mexicano,canto cardenche,subgenre
regional mexicano,chilena,subgenre
regional mexicano,corrido,subgenre
regional mexicano,mariachi,subgenre
regional mexicano,norteño,subgenre
regional mexicano,ranchera,subgenre
regional mexicano,son calentano,subgenre
regional mexicano,son huasteco,subgenre
regional mexicano,son istmeño,subgenre
regional mexicano,son jarocho,subgenre
regional mexicano,tejano,subgenre
regional mexicano,trova yucateca,subgenre
yu-mex,regional mexicano,influenced by
folk,yodeling,subgenre
pop,yé-yé,subgenre
yé-yé,beat music,influenced by
yé-yé,rock and roll,influenced by
j-rock,yakousei,subgenre
yakousei,alternative dance,influenced by
yakousei,indie pop,influenced by
yakousei,indie rock,influenced by
yakousei,nu disco,influenced by
yakousei,post-punk revival,influenced by
soft rock,yacht rock,subgenre
yacht rock,r&b,influenced by
xote,schottische,influenced by
world fusion,folk,fusion of
world fusion,jazz,fusion of
techno,wonky techno,subgenre
wonky techno,breakbeat,influenced by
wonky techno,electro,influenced by
wonky techno,glitch,influenced by
wonky,dubstep,fusion of
wonky,glitch hop,fusion of
pop,wong shadow,subgenre
wong shadow,surf rock,influenced by
electronic,witch house,subgenre
witch house,chillwave,influenced by
witch house,chopped and screwed,influenced by
witch house,dark wave,influenced by
witch house,dream pop,influenced by
witch house,ethereal wave,influenced by
witch house,shoegaze,influenced by
witch house,southern hip hop,influenced by
country,western swing,subgenre
western swing,dixieland,influenced by
western swing,swing,influenced by
country,western,subgenre
hip hop,west coast hip hop,subgenre
electronic,wave,subgenre
wave,cloud rap,influenced by
wave,trap,influenced by
folk,waulking song,subgenre
war metal,death metal,influenced by
schlager,volkstümliche musik,subgenre
volkstümliche musik,folk,influenced by
trance,vocal trance,subgenre
vocal trance,pop,influenced by
surf,vocal surf,subgenre
vocal surf,pop rock,influenced by
jazz,vocal jazz,subgenre
vocal jazz,blues,influenced by
house,vocal house,subgenre
rock,visual kei,subgenre
visual kei,glam rock,influenced by
visual kei,gothic rock,influenced by
visual kei,heavy metal,influenced by
folk,visa,subgenre
punk rock,viking rock,subgenre
viking rock,folk,influenced by
viking rock,oi,influenced by
metal,viking metal,subgenre
viking metal,black metal,influenced by
viking metal,folk,influenced by
vietnamese bolero,bolero,influenced by
vaudeville blues,blues,fusion of
vaudeville blues,vaudeville,fusion of
musical,vaudeville,subgenre
electronic,vaporwave,subgenre
vaporwave,vaportrap,subgenre
vaportrap,trap,influenced by
vanera,habanera,influenced by
vals criollo,waltz,influenced by
pop,v-pop,subgenre
country,urban cowboy,subgenre
urban cowboy,disco,influenced by
urban cowboy,pop,influenced by
ngoma,unyago,subgenre
hip hop,underground hip hop,subgenre
hardcore punk,uk82,subgenre
uk82,oi,influenced by
uk82,street punk,influenced by
contemporary r&b,uk street soul,subgenre
uk street soul,hip hop,influenced by
uk street soul,reggae,influenced by
uk street soul,soul,influenced by
happy hardcore,uk hardcore,subgenre
uk hardcore,bouncy techno,influenced by
uk hardcore,breakbeat hardcore,influenced by
uk hardcore,trance,influenced by
edm,uk garage,subgenre
uk garage,garage house,influenced by
edm,uk funky,subgenre
uk funky,dancehall,influenced by
uk funky,soca,influenced by
uk funky,tribal house,influenced by
uk funky,uk garage,influenced by
drill,uk drill,subgenre
uk drill,grime,influenced by
marching band,pep band,subgenre
trap,trap shaabi,subgenre
trap shaabi,shaabi,influenced by
nueva canción,nueva canción chilena,subgenre
nueva canción,nueva canción española,subgenre
cumbia,nueva cumbia chilena,subgenre
wave,hardwave,subgenre
hardwave,hardstyle,influenced by
hardwave,trance,influenced by
hardwave,trap edm,influenced by
electronic,moogsploitation,subgenre
electronic,minatory,subgenre
minatory,dark ambient,influenced by
minatory,deathstep,influenced by
electronic,celtic electronica,subgenre
celtic electronica,celtic,influenced by
dungeon synth,comfy synth,subgenre
comfy synth,new age,influenced by
dungeon synth,winter synth,subgenre
winter synth,dark ambient,influenced by
winter synth,drone,influenced by
bit music,fm synthesis,subgenre
edm,spacesynth,subgenre
spacesynth,italo-disco,influenced by
spacesynth,space disco,influenced by
spacesynth,synth-pop,influenced by
bit music,doskpop,subgenre
doskpop,italo-disco,influenced by
doskpop,spacesynth,influenced by
electroacoustic,acousmatic,subgenre
vaporwave,utopian virtual,subgenre
utopian virtual,easy listening,influenced by
utopian virtual,hypnagogic pop,influenced by
utopian virtual,new age,influenced by
utopian virtual,smooth jazz,influenced by
utopian virtual,synth-pop,influenced by
brostep,colour bass,subgenre
colour bass,future bass,influenced by
colour bass,melodic dubstep,influenced by
brostep,riddim dubstep,subgenre
riddim dubstep,dubstep,influenced by
dubstep,dungeon sound,subgenre
dungeon sound,darkstep,influenced by
dubstep,purple sound,subgenre
purple sound,bit music,influenced by
purple sound,g-funk,influenced by
purple sound,grime,influenced by
purple sound,synth funk,influenced by
edm,budots,subgenre
budots,house,influenced by
edm,bérite club,subgenre
bérite club,baltimore club,influenced by
bérite club,gqom,influenced by
bérite club,grime,influenced by
bérite club,kuduro,influenced by
bérite club,trap edm,influenced by
edm,artcore,subgenre
artcore,western classical,influenced by
artcore,drum and bass,influenced by
dance-pop,romanian popcorn,subgenre
edm,nerdcore techno,subgenre
nerdcore techno,breakbeat,influenced by
nerdcore techno,jungle,influenced by
nerdcore techno,techno,influenced by
edm,manyao,subgenre
manyao,eurodance,influenced by
manyao,house,influenced by
manyao,mandopop,influenced by
manyao,trance,influenced by
edm,hard drum,subgenre
hard drum,tribal house,influenced by
hard drum,uk funky,influenced by
grime,weightless,subgenre
weightless,ambient,influenced by
breakbeat,breakbeat kota,subgenre
breakbeat kota,funkot,influenced by
edm,jersey club,subgenre
jersey club,baltimore club,influenced by
jersey club,breakbeat,influenced by
breakbeat kota,jungle dutch,subgenre
jungle dutch,dutch house,influenced by
jungle dutch,jersey club,influenced by
jungle dutch,jungle terror,influenced by
edm,footwork jungle,subgenre
footwork jungle,drum and bass,fusion of
footwork jungle,footwork,fusion of
eurodance,bubblegum dance,subgenre
bubblegum dance,bubblegum pop,influenced by
edm,philly club,subgenre
philly club,baltimore club,influenced by
philly club,hardstyle,influenced by
philly club,trap edm,influenced by
breakbeat,florida breaks,subgenre
florida breaks,breakbeat hardcore,influenced by
florida breaks,electro,influenced by
florida breaks,house,influenced by
florida breaks,miami bass,influenced by
florida breaks,trance,influenced by
breakbeat hardcore,hardcore breaks,subgenre
hardcore breaks,drum and bass,influenced by
hardcore breaks,dubstep,influenced by
hardcore breaks,footwork,influenced by
breakbeat hardcore,darkcore,subgenre
hardcore techno,uptempo hardcore,subgenre
uptempo hardcore,frenchcore,influenced by
uptempo hardcore,gabber,influenced by
uptempo hardcore,industrial hardcore,influenced by
uptempo hardcore,rawstyle,influenced by
gabber,nu style gabber,subgenre
breakcore,raggacore,subgenre
raggacore,dancehall,influenced by
raggacore,ragga,influenced by
raggacore,ragga jungle,influenced by
hardcore techno,acidcore,subgenre
acidcore,acid techno,influenced by
hardcore techno,modern hardtek,subgenre
modern hardtek,free tekno,influenced by
modern hardtek,uk hardcore,influenced by
edm,hard nrg,subgenre
hard nrg,hard house,influenced by
hard nrg,hi-nrg,influenced by
hard nrg,trance,influenced by
edm,jumpstyle,subgenre
hardstyle,dubstyle,subgenre
dubstyle,2-step,influenced by
dubstyle,dubstep,influenced by
trap edm,twerk,subgenre
twerk,bounce,influenced by
twerk,miami bass,influenced by
trap edm,hybrid trap,subgenre
hybrid trap,brostep,influenced by
house,festival progressive house,subgenre
festival progressive house,melodic trance,influenced by
trap edm,heaven trap,subgenre
heaven trap,festival progressive house,influenced by
heaven trap,melodic dubstep,influenced by
trap edm,hard trap,subgenre
hard trap,hardstyle,influenced by
trap edm,festival trap,subgenre
psytrance,suomisaundi,subgenre
psytrance,progressive psytrance,subgenre
progressive psytrance,deep house,influenced by
progressive psytrance,minimal techno,influenced by
progressive psytrance,progressive house,influenced by
progressive psytrance,tech house,influenced by
goa trance,nitzhonot,subgenre
nitzhonot,melodic trance,influenced by
psytrance,full-on,subgenre
dark psytrance,hi-tech,subgenre
hi-tech,full-on,influenced by
trance,balearic trance,subgenre
balearic trance,balearic beat,influenced by
trance,big room trance,subgenre
big room trance,big room house,influenced by
big room trance,electro house,influenced by
big room trance,tech trance,influenced by
techno,hardgroove techno,subgenre
hardgroove techno,tech house,influenced by
uk garage,breakstep,subgenre
breakstep,breakbeat,influenced by
breakstep,nu skool breaks,influenced by
breakstep,techstep,influenced by
house,vinahouse,subgenre
vinahouse,eurodance,influenced by
vinahouse,v-pop,influenced by
tribal house,guaracha edm,subgenre
guaracha edm,cumbia,influenced by
tech house,deep tech,subgenre
deep tech,speed garage,influenced by
deep tech,uk garage,influenced by
house,latin house,subgenre
house,g-house,subgenre
g-house,hip hop,influenced by
house,jersey sound,subgenre
jersey sound,gospel,influenced by
house,brazilian bass,subgenre
brazilian bass,deep house,influenced by
brazilian bass,tech house,influenced by
house,slap house,subgenre
slap house,brazilian bass,influenced by
slap house,future house,influenced by
electro house,melbourne bounce,subgenre
melbourne bounce,dutch house,influenced by
melbourne bounce,minimal techno,influenced by
melbourne bounce,tech house,influenced by
house,future bounce,subgenre
future bounce,future house,fusion of
future bounce,melbourne bounce,fusion of
house,chicago house,subgenre
chicago house,funk,influenced by
chicago house,italo-disco,influenced by
chicago house,synth-pop,influenced by
house,ballroom house,subgenre
house,afro house,subgenre
afro house,deep house,influenced by
afro house,kwaito,influenced by
drum and bass,trancestep,subgenre
trancestep,trance,influenced by
liquid funk,sambass,subgenre
sambass,bossa nova,influenced by
sambass,samba,influenced by
drum and bass,halftime,subgenre
halftime,dubstep,influenced by
halftime,neurofunk,influenced by
halftime,wonky,influenced by
drum and bass,drumfunk,subgenre
drum and bass,dancefloor drum and bass,subgenre
western classical,nocturne,subgenre
marching band,drumline,subgenre
marching band,fife and drum,subgenre
folk,fife and drum blues,subgenre
fife and drum blues,fife and drum,influenced by
symphony,choral symphony,subgenre
experimental,tape music,subgenre
jazz,modern creative,subgenre
modern creative,free improvisation,influenced by
modern creative,free jazz,influenced by
modern creative,modern classical,influenced by
modern classical,indeterminacy,subgenre
modern classical,futurism,subgenre
experimental,data sonification,subgenre
experimental,conducted improvisation,subgenre
conducted improvisation,free improvisation,influenced by
conducted improvisation,free jazz,influenced by
laiko,modern laiko,subgenre
modern laiko,dance-pop,influenced by
modern laiko,pop,influenced by
contemporary christian,praise & worship,subgenre
pop,dansktop,subgenre
dansktop,dansband,influenced by
dansktop,schlager,influenced by
easy listening,cocktail nation,subgenre
cocktail nation,exotica,influenced by
cocktail nation,lounge,influenced by
cocktail nation,swing revival,influenced by
pop,palingsound,subgenre
pop,sunshine pop,subgenre
sunshine pop,easy listening,influenced by
sunshine pop,psychedelic,influenced by
pop,opm,subgenre
modinha,opera,influenced by
tropicanibalismo,champeta,influenced by
tropicanibalismo,cumbia,influenced by
tropicanibalismo,salsa,influenced by
tropicanibalismo,vallenato,influenced by
opera,operetta,subgenre
kalon'ny fahiny,operetta,influenced by
musical,minstrelsy,subgenre
coon song,minstrelsy,influenced by
musical,revue,subgenre
opera,opéra comique,subgenre
opera,ballad opera,subgenre
ballad opera,folk,influenced by
opera,singspiel,subgenre
singspiel,ballad opera,influenced by
singspiel,opéra comique,influenced by
opera,opera buffa,subgenre
opera,opera seria,subgenre
opera,tragédie en musique,subgenre
opera,opera semiseria,subgenre
opera,grand opera,subgenre
opera,zeitoper,subgenre
house,organic house,subgenre
organic house,afro house,influenced by
organic house,deep house,influenced by
organic house,downtempo,influenced by
organic house,progressive house,influenced by
jam band,livetronica,subgenre
livetronica,electronic,influenced by
vaporwave,barber beats,subgenre
barber beats,downtempo,influenced by
barber beats,instrumental hip hop,influenced by
barber beats,trip hop,influenced by
western classical,étude,subgenre
indian classical,carnatic classical,subgenre
indian classical,hindustani classical,subgenre
indian classical,odissi classical,subgenre
classical,andalusian classical,subgenre
classical,indian classical,subgenre
mambo chileno,trap,influenced by
classical,western classical,subgenre
classical,islamic modal music,subgenre
islamic modal music,mugham,subgenre
islamic modal music,sawt,subgenre
islamic modal music,iraqi maqam,subgenre
islamic modal music,turkish classical,subgenre
classical,persian classical,subgenre
persian classical,indian classical,influenced by
persian classical,islamic modal music,influenced by
classical,sufiana kalam,subgenre
sufiana kalam,hindustani classical,influenced by
sufiana kalam,islamic modal music,influenced by
sufiana kalam,persian classical,influenced by
classical,shashmaqam,subgenre
classical,pìobaireachd,subgenre
classical,guoyue,subgenre
classical,southeast asian classical,subgenre
southeast asian classical,talempong,subgenre
southeast asian classical,tembang cianjuran,subgenre
southeast asian classical,saluang klasik,subgenre
southeast asian classical,pinpeat,subgenre
southeast asian classical,mahori,subgenre
southeast asian classical,kulintang,subgenre
southeast asian classical,kacapi suling,subgenre
southeast asian classical,gamelan,subgenre
southeast asian classical,burmese classical,subgenre
classical,chinese classical,subgenre
burmese classical,chinese classical,influenced by
burmese classical,indian classical,influenced by
chinese classical,baisha xiyue,subgenre
chinese classical,chinese opera,subgenre
chinese classical,yayue,subgenre
chinese classical,dongjing,subgenre
thai classical,fon leb,subgenre
thai classical,khrueang sai,subgenre
thai classical,piphat,subgenre
southeast asian classical,thai classical,subgenre
hát tuồng,chinese opera,influenced by
vietnamese classical,ca trù,subgenre
vietnamese classical,hát tuồng,subgenre
classical,vietnamese classical,subgenre
korean classical,aak,subgenre
korean classical,dangak,subgenre
korean classical,gagok,subgenre
korean classical,hyangak,subgenre
korean classical,jeongak,subgenre
classical,korean classical,subgenre
japanese classical,gagaku,subgenre
japanese classical,heikyoku,subgenre
japanese classical,honkyoku,subgenre
japanese classical,jiuta,subgenre
japanese classical,jōruri,subgenre
japanese classical,meiji shinkyoku,subgenre
japanese classical,nagauta,subgenre
japanese classical,noh,subgenre
japanese classical,shōmyō,subgenre
japanese classical,sōkyoku,subgenre
classical,japanese classical,subgenre
western classical,concerto,subgenre
western classical,symphonic poem,subgenre
art song,orchestral song,subgenre
western classical,oratorio,subgenre
modern classical,stochastic music,subgenre
modern classical,sonorism,subgenre
sonorism,serialism,influenced by
sonorism,stochastic music,influenced by
serialism,integral serialism,subgenre
modern classical,totalism,subgenre
totalism,minimalism,influenced by
post-minimalism,folk,influenced by
post-minimalism,jazz,influenced by
modern classical,new complexity,subgenre
modern classical,musique concrète instrumentale,subgenre
modern classical,microtonal classical,subgenre
modern classical,expressionism,subgenre
western classical,medieval,subgenre
medieval,plainchant,subgenre
plainchant,ambrosian chant,subgenre
medieval,medieval lyric poetry,subgenre
waltz,valsa brasileira,subgenre
valsa brasileira,choro,influenced by
western classical,classical period,subgenre
march,circus march,subgenre
art song,mélodie,subgenre
art song,lied,subgenre
lied,romantic classical,influenced by
pop,traditional pop,subgenre
traditional pop,vocal jazz,influenced by
pop,orthodox pop,subgenre
western classical,brass band,subgenre
brass band,british brass band,subgenre
hindustani classical,natya sangeet,subgenre
hindustani classical,abhang,subgenre
folk,falak,subgenre
trap,sigilkore,subgenre
drill,jersey drill,subgenre
jersey drill,jersey club,influenced by
western classical,overture,subgenre
musical,chèo,subgenre
cumbia,cumbia colombiana,subgenre
jazz,indo jazz,subgenre
indo jazz,indian classical,influenced by
plunderphonics,ytpmv,subgenre
plunderphonics,mad,subgenre
pop,jesus music,subgenre
jesus music,contemporary folk,influenced by
jesus music,folk rock,influenced by
jesus music,psychedelic,influenced by
contemporary christian,jesus music,influenced by
folk,white voice,subgenre
zouk,afro-zouk,subgenre
afro-zouk,soukous,influenced by
house,changa tuki,subgenre
changa tuki,techno,influenced by
changa tuki,tribal house,influenced by
vude,country,influenced by
vude,disco,influenced by
vude,rock,influenced by
vude,sigidrigi,influenced by
beatboxing,hip hop,influenced by
riddim dubstep,future riddim,subgenre
future riddim,future bass,influenced by
future riddim,melodic dubstep,influenced by
western classical,prelude,subgenre
edm,glitch hop edm,subgenre
glitch hop edm,brostep,influenced by
glitch hop edm,electro house,influenced by
glitch hop edm,glitch hop,influenced by
glitch hop edm,neurohop,subgenre
folk,néo-trad,subgenre
psytrance,forest psytrance,subgenre
forest psytrance,dark psytrance,influenced by
nature sounds,animal sounds,subgenre
opera,romantische oper,subgenre
romantische oper,folk,influenced by
romantische oper,opéra comique,influenced by
ska punk,crack rock steady,subgenre
crack rock steady,crust punk,influenced by
crack rock steady,hardcore punk,influenced by
opera,verismo,subgenre
western classical,toccata,subgenre
drill,chicago drill,subgenre
industrial techno,birmingham sound,subgenre
birmingham sound,acid techno,influenced by
animal sounds,whale song,subgenre
kidandali,kadongo kamu,influenced by
kidandali,ragga,influenced by
folk,música criolla,subgenre
música criolla,festejo,subgenre
música criolla,landó,subgenre
música criolla,marinera,subgenre
música criolla,polca criolla,subgenre
polca criolla,polka,influenced by
música criolla,vals criollo,subgenre
isicathamiya,mbube,influenced by
alternative rock,geek rock,subgenre
geek rock,new wave,influenced by
geek rock,pop rock,influenced by
geek rock,power pop,influenced by
western classical,sonata,subgenre
folk,trampská hudba,subgenre
trampská hudba,bluegrass,influenced by
trampská hudba,country,influenced by
merengue,mambo urbano,subgenre
mambo urbano,hip hop,influenced by
mambo urbano,reggaeton,influenced by
animal sounds,birdsong,subgenre
full-on,night full-on,subgenre
orthodox pop,klezmer,influenced by
orthodox pop,nigun,influenced by
plugg,dark plugg,subgenre
opera,monodrama,subgenre
adhunik geet,ghazal,influenced by
adhunik geet,hindustani classical,influenced by
afrobeats,afropiano,subgenre
afropiano,amapiano,influenced by
western classical,fantasia,subgenre
merengue,merengue típico,subgenre
electronic,black midi,subgenre
folk,xuc,subgenre
tanjidor,marching band,influenced by
garage house,gospel house,subgenre
gospel house,gospel,influenced by
gospel house,spirituals,influenced by
church music,anglican chant,subgenre
church music,plainchant,subgenre
funk mandelão,funk automotivo,subgenre
church music,byzantine chant,subgenre
minimalism,holy minimalism,subgenre
holy minimalism,church music,influenced by
traditional pop,tin pan alley,subgenre
tin pan alley,ragtime,influenced by
